,Gender,Gap,10_Result,12_Result,Sem1,Sem2,Sem3,Sem4,Sem5,Caste,admission_category
0,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
1,Male,0,4,4,1.0,3.0,2.0,3.0,4.0,OPEN,Minority
2,Male,0,4,4,3.0,3.0,4.0,4.0,4.0,OPEN,Minority
3,Male,0,4,4,3.0,2.0,3.0,3.0,3.0,OPEN,Minority
4,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,Tution Waiver Scheme
5,Female,1,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,Tution Waiver Scheme
6,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
7,Male,1,4,4,3.0,3.0,3.0,4.0,3.0,OPEN,CAP
8,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
9,Male,0,4,4,3.0,3.0,4.0,4.0,3.0,SC,CAP
12,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
14,Female,0,4,4,2.0,3.0,3.0,4.0,3.0,OPEN,Minority
15,Female,0,4,4,2.0,3.0,4.0,4.0,3.0,OPEN,Minority
16,Male,0,4,4,2.0,3.0,2.0,3.0,3.0,OPEN,Minority
17,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,Minority
18,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
19,Male,0,4,4,4.0,3.0,4.0,4.0,4.0,OPEN,CAP
20,Female,0,4,4,3.0,3.0,3.0,3.0,3.0,OPEN,Minority
21,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
22,Male,0,4,4,4.0,4.0,2.0,4.0,3.0,OPEN,Minority
23,Female,0,4,4,2.0,2.0,2.0,3.0,4.0,OPEN,CAP
24,Male,0,4,4,2.0,3.0,4.0,4.0,4.0,OPEN,Minority
27,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
28,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
29,Male,0,4,4,3.0,3.0,3.0,3.0,2.0,OPEN,CAP
30,Male,1,4,4,4.0,4.0,4.0,4.0,4.0,OBC,CAP
31,Male,0,4,4,1.0,2.0,1.0,2.0,1.0,OPEN,CAP
32,Male,0,4,4,3.0,3.0,3.0,4.0,3.0,OPEN,Minority
33,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,Minority
35,Female,0,4,4,3.0,4.0,4.0,4.0,4.0,OPEN,CAP
36,Female,0,4,4,3.0,4.0,4.0,4.0,4.0,OPEN,CAP
37,Female,0,4,4,2.0,2.0,1.0,3.0,3.0,OPEN,Minority
38,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
39,Male,0,4,4,1.0,1.0,2.0,3.0,4.0,OPEN,Minority
