,Division,Gender,Gap,10_Result,12_Result,Sem1,Sem2,Sem3,Sem4,Sem5,Caste,admission_category
0,0,0,0.0,4.0,4.0,6.0,6.0,6.0,7.0,7.0,0,0
1,1571,1571,0.0,3.0,3.0,3.0,5.0,4.0,5.0,0.0,1571,1571
2,1572,1572,0.0,3.0,3.0,5.0,5.0,6.0,6.0,6.0,1572,1572
3,1573,1573,0.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,1573,1573
4,1574,1574,0.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,1574,1574
5,1575,1575,1.0,4.0,4.0,7.0,6.0,7.0,7.0,6.0,1575,1575
6,1576,1576,0.0,4.0,4.0,6.0,6.0,7.0,7.0,6.0,1576,1576
7,1577,1577,1.0,3.0,3.0,5.0,5.0,5.0,6.0,5.0,1577,1577
8,1578,1578,0.0,4.0,4.0,6.0,6.0,7.0,7.0,6.0,1578,1578
9,1579,1579,0.0,3.0,3.0,5.0,5.0,6.0,6.0,5.0,1579,1579
12,1580,1580,0.0,4.0,4.0,7.0,6.0,7.0,7.0,6.0,1580,1580
14,1581,1581,0.0,3.0,3.0,4.0,5.0,5.0,6.0,5.0,1581,1581
15,1582,1582,0.0,3.0,3.0,4.0,5.0,6.0,6.0,5.0,1582,1582
16,1583,1583,0.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,1583,1583
17,1584,1584,0.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,1584,1584
18,1585,1585,0.0,4.0,4.0,6.0,6.0,7.0,6.0,6.0,1585,1585
19,1570,1570,0.0,3.0,3.0,6.0,5.0,6.0,7.0,6.0,1570,1570
20,1569,1569,0.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,1569,1569
21,1568,1568,0.0,4.0,4.0,7.0,7.0,7.0,7.0,6.0,1568,1568
22,1559,1559,0.0,3.0,3.0,6.0,6.0,4.0,6.0,5.0,1559,1559
23,1553,1553,0.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,1553,1553
24,1554,1554,0.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,1554,1554
27,1555,1555,0.0,4.0,4.0,6.0,7.0,6.0,6.0,6.0,1555,1555
28,1556,1556,0.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,1556,1556
29,1557,1557,0.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,1557,1557
30,1558,1558,1.0,4.0,4.0,6.0,7.0,6.0,6.0,6.0,1558,1558
31,1560,1560,0.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,1560,1560
32,1567,1567,0.0,4.0,4.0,5.0,5.0,5.0,6.0,5.0,1567,1567
33,1561,1561,0.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,1561,1561
35,1562,1562,0.0,4.0,4.0,5.0,6.0,6.0,7.0,7.0,1562,1562
36,1563,1563,0.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,1563,1563
37,1564,1564,0.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,1564,1564
38,1565,1565,0.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0,1565,1565
39,1566,1566,0.0,3.0,3.0,3.0,3.0,4.0,5.0,0.0,1566,1566
40,1586,1586,0.0,4.0,4.0,7.0,6.0,6.0,5.0,5.0,1586,1586
42,1588,1588,0.0,3.0,3.0,5.0,4.0,4.0,6.0,5.0,1588,1588
43,1623,1623,0.0,4.0,4.0,5.0,5.0,5.0,6.0,7.0,1623,1623
44,1589,1589,0.0,4.0,4.0,5.0,5.0,5.0,6.0,5.0,1589,1589
45,1608,1608,0.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,1608,1608
49,1609,1609,1.0,4.0,4.0,6.0,6.0,6.0,7.0,6.0,1609,1609
51,1610,1610,0.0,3.0,3.0,5.0,4.0,5.0,6.0,6.0,1610,1610
52,1611,1611,0.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,1611,1611
53,1612,1612,1.0,3.0,3.0,4.0,4.0,0.0,4.0,0.0,1612,1612
54,1613,1613,0.0,4.0,4.0,6.0,6.0,6.0,7.0,6.0,1613,1613
55,1614,1614,0.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,1614,1614
56,1615,1615,0.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,1615,1615
58,1616,1616,0.0,4.0,4.0,6.0,5.0,6.0,6.0,6.0,1616,1616
59,1617,1617,0.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,1617,1617
60,1618,1618,0.0,4.0,4.0,5.0,6.0,6.0,7.0,5.0,1618,1618
61,1619,1619,0.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,1619,1619
62,1620,1620,0.0,4.0,4.0,6.0,5.0,7.0,7.0,7.0,1620,1620
63,1621,1621,0.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,1621,1621
65,1622,1622,0.0,4.0,4.0,6.0,5.0,7.0,7.0,6.0,1622,1622
66,1607,1607,0.0,3.0,3.0,5.0,6.0,6.0,6.0,5.0,1607,1607
67,1606,1606,0.0,4.0,4.0,5.0,5.0,6.0,7.0,6.0,1606,1606
